CRITFC Last Action	Assay	Panel Origin	Presumed Type	Source	CRITFC Comment	Tasha Comments	UWR	Rogue
Active Panel	OmyY1_2SEXY	PBT	Sex Marker	Brunelli et al. 2008	none	none	Yes	Yes
Active Panel	Omy_ndk-152	GSI	Neutral	Campbell unpublished	Omy_ndk-152 and Omy_u09-52.284 are linked loci	none	Failed QC	Failed QC
Active Panel	Omy_cd59b-112	GSI	Neutral	DeKoning unpublished. WSU	none	none	Failed QC	Failed QC
Active Panel	OMS00129	GSI	Neutral	Sánchez et al. 2009	none	none	Fixed	Failed QC
Active Panel	Omy_hsp70aPro-329	GSI	Neutral	Campbell and Narum 2009	none	none	Yes	Failed QC
Active Panel	OMS00003	GSI	Neutral	Sánchez et al. 2009	Has a 4th cluster. Not sure of the source	none	Yes	Failed QC
Active Panel	Omy_Ogo4-212	PBT	Neutral	Campbell unpublished	none	none	Yes	Failed QC
Active Panel	Omy_gluR-79	PBT	Neutral	Campbell unpublished	none	none	Yes	Failed QC
Active Panel	Omy_101554-306	WDFW	Neutral	Abadía-Cardoso et al. 2011	none	none	Yes	Failed QC
Active Panel	OMS00169	GSI	Neutral. Possible linkage	Sánchez et al. 2009	Omy_SECC22b-88 and OMS00169 are linked loci	none	Yes	Failed QC
Active Panel	OMS00127	WDFW	Neutral	Sánchez et al. 2009	none	none	Yes	Yes
Active Panel	OMS00008	GSI	Neutral	Sánchez et al. 2009	none	none	Yes	Failed QC
Active Panel	Omy_hsc715-80	PBT	Neutral	Campbell and Narum 2009	none	none	Yes	Yes
Active Panel	Omy_hsf1b-241	GSI	Neutral	Campbell and Narum 2009	none	none	Yes	Yes
Active Panel	Omy28_11671116	Omy390	Adaptive. Run Timing	Micheletti et al 2018 Mol Ecol	none	good candidate	Yes	Failed QC
Active Panel	OMS00074	PBT	Neutral	Sánchez et al. 2009	none	none	Yes	Failed QC
Active Panel	OMS00017	GSI	Neutral	Sánchez et al. 2009	none	none	Failed QC	Failed QC
Active Panel	Omy_u09-56.119	GSI	Neutral	Limborg et al. 2012	none	none	Yes	Yes
